ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count,Date
IL,2008,2,11,0,2008-10-01
IL,2009,1,43,0,2009-04-01
IL,2009,2,22,0,2009-10-01
IL,2010,1,21,0,2010-04-01
IL,2010,2,14,0,2010-10-01
IL,2011,1,19,0,2011-04-01
IL,2011,2,7,0,2011-10-01
IL,2012,1,12,0,2012-04-01
IL,2012,2,15,0,2012-10-01
IL,2013,1,8,0,2013-04-01
IL,2013,2,34,0,2013-10-01
IL,2014,1,33,0,2014-04-01
IL,2014,2,40,0,2014-10-01
IL,2015,1,76,0,2015-04-01
IL,2015,2,372,0,2015-10-01
IL,2016,1,715,0,2016-04-01
IL,2016,2,966,3,2016-10-01
IL,2017,1,1304,6,2017-04-01
IL,2017,2,1832,6,2017-10-01
IL,2018,1,2703,2,2018-04-01
IL,2018,2,2619,1,2018-10-01
IL,2019,1,1895,2,2019-04-01
IL,2019,2,2769,4,2019-10-01
IL,2020,1,2447,5,2020-04-01
IL,2020,2,2854,2,2020-10-01
IL,2021,1,3643,0,2021-04-01
IL,2021,2,2716,0,2021-10-01
IL,2022,1,2927,0,2022-04-01
IL,2022,2,2755,1,2022-10-01
IN,1998,1,0,0,1998-04-01
IN,1998,2,0,0,1998-10-01
IN,1999,1,0,0,1999-04-01
IN,1999,2,0,0,1999-10-01
IN,2000,1,0,0,2000-04-01
IN,2000,2,0,0,2000-10-01
IN,2001,1,0,0,2001-04-01
IN,2001,2,2,0,2001-10-01
IN,2002,1,0,0,2002-04-01
IN,2002,2,0,0,2002-10-01
IN,2003,1,2,0,2003-04-01
IN,2003,2,4,0,2003-10-01
IN,2004,1,0,0,2004-04-01
IN,2004,2,5,0,2004-10-01
IN,2005,1,2,0,2005-04-01
IN,2005,2,9,0,2005-10-01
IN,2006,1,11,0,2006-04-01
IN,2006,2,31,0,2006-10-01
IN,2007,1,6,0,2007-04-01
IN,2007,2,2,0,2007-10-01
